number,value,datetime_start,datetime_complete,duration,params_T,params_batch_size,params_cosine_s,params_d_model,params_div_factor,params_dropout,params_gamma_end,params_gamma_start,params_grad_clip,params_lambda_pdg,params_lambda_zplane,params_lr,params_nhead,params_num_layers,params_pct_start,state
0,2.7416649607511667,2026-03-11 11:56:17.777897,2026-03-11 12:49:01.289745,0 days 00:52:43.511848,500,16,0.00037419406111184985,256,17.960262498366816,0.05411689885916049,0.12606056073988442,0.0007790143126276247,2.1479175279631737,0.2227337188467456,0.4484685687215243,0.0008403604888695196,4,4,0.0936843710297063,COMPLETE
1,2.6221383846167363,2026-03-11 12:49:01.388157,2026-03-11 13:38:54.044620,0 days 00:49:52.656463,1000,64,0.04038423798071561,256,15.393487254899382,0.08410482473745831,0.07441802850159597,0.0014537555576161927,2.160228740609402,0.8179774807106381,0.6787661614294043,0.0006066716167545476,4,4,0.06830573522671683,COMPLETE
2,2.5004915026518013,2026-03-11 13:38:54.143065,2026-03-11 16:15:19.958542,0 days 02:36:25.815477,500,16,0.0307688247430154,512,23.92275706162204,0.2378997883128378,0.06130682222763452,0.0003570478920909981,2.083015934534223,0.13406787694932354,0.47236743859637587,0.0005244136133080424,8,5,0.0907023547660844,COMPLETE
3,2.785949310889611,2026-03-11 16:15:20.055667,2026-03-11 16:35:28.228153,0 days 00:20:08.172486,1000,32,0.012068006375483968,256,8.701106159513815,0.21309228569096683,0.07896726488128243,0.002926758115062129,2.4349471902413367,0.12034241914738585,0.7810848842341179,0.0008198924913296289,2,2,0.09963470372789739,COMPLETE
4,,2026-03-11 16:35:28.281559,2026-03-11 16:35:37.782349,0 days 00:00:09.500790,1000,32,0.00142534627201215,256,26.549816303199655,0.20419343599091222,0.057857296421683566,0.0012057081573389123,1.97153397161449,0.07414817040689042,0.3049937112872785,0.0007694847518511573,8,4,0.12628560367470543,PRUNED
5,2.816105340077327,2026-03-11 16:35:37.826986,2026-03-11 18:14:41.034990,0 days 01:39:03.208004,500,32,0.025644247753429144,512,14.06899944010232,0.22429211803754356,0.2740228249808733,0.00034695916603302916,1.665077886791515,0.5623751298198683,1.6341362948117188,0.000706413323304721,4,4,0.08419027438129126,COMPLETE
6,2.6320386308890122,2026-03-11 18:14:41.220608,2026-03-11 19:14:19.011187,0 days 00:59:37.790579,500,16,0.041957605186956,256,17.906016254192004,0.15375812434867323,0.17431212647309635,0.000324476480988986,1.9272607415662013,0.9643249301950056,0.5783863620681918,0.0015540463484393125,8,3,0.05553304210317992,COMPLETE
7,,2026-03-11 19:14:19.226420,2026-03-11 19:14:29.367154,0 days 00:00:10.140734,1000,64,0.0009831859037624927,256,10.236640320397326,0.20232392306574354,0.18394367101868964,0.0001423638128723575,2.752953743383857,0.6506905390639005,1.3037064504456999,0.0010037208199227391,4,4,0.09811700974576038,PRUNED
8,3.179516678590041,2026-03-11 19:14:29.484873,2026-03-11 19:30:00.194796,0 days 00:15:30.709923,1000,32,0.00020242382643923405,256,16.111129182753924,0.23734599774734694,0.1144854069287889,0.0013221876538695291,2.725833300301824,0.9284589373646347,1.766944771423864,0.0005290772477729865,8,3,0.13328012173991938,PRUNED
9,,2026-03-11 19:30:00.510808,2026-03-11 19:30:10.672566,0 days 00:00:10.161758,500,64,0.00027304300262089633,256,9.894613545483647,0.20597510917152478,0.052299262904157415,0.00014872949647124203,2.495252653662084,0.9036264791007252,1.252215213353221,0.000699164859916176,8,5,0.050759237576932806,PRUNED
10,3.008289448114542,2026-03-11 19:30:11.055735,2026-03-11 20:01:41.967660,0 days 00:31:30.911925,500,16,0.006200805293810715,512,29.74059366034817,0.1581887816351096,0.29188410859405456,0.00033864339884931123,1.5754351793897143,0.36805541741207437,0.12339122217338105,0.001391206196505005,2,5,0.1835810044803575,PRUNED
11,,2026-03-11 20:01:42.123030,2026-03-11 20:01:51.440891,0 days 00:00:09.317861,1000,64,0.005683602948675943,512,22.62006903806345,0.06947203129017905,0.10941783405795204,0.004697809687345479,2.2474022351725504,0.7561767992938592,0.8766498921581894,0.0005081986029173515,4,5,0.0717079544364852,PRUNED
